Epoch,val_loss,val_accuracy,loss,accuracy
0,0.4455314972003301,0.9003933072090149,0.9156140356404441,0.7397742867469788
1,0.2796798872947693,0.9339600205421448,0.48746973846639907,0.8805485963821411
2,0.2149094358086586,0.9466333389282227,0.3706322349820818,0.9147942662239075
3,0.17996541341145833,0.9536466598510742,0.30771402614457266,0.9314457178115845
4,0.15974003156026204,0.9572266936302185,0.26706589651959284,0.9405428767204285
5,0.14351691340406736,0.9610333442687988,0.23862229113067898,0.9468828439712524
6,0.13335840175549188,0.9631933569908142,0.2158000198858125,0.9518628716468811
7,0.1255826933681965,0.9651066660881042,0.19945626654795237,0.9556999802589417
8,0.11932600537935893,0.9665200114250183,0.18575980905975614,0.9581371545791626
9,0.11422450477878253,0.9677866697311401,0.17321932882070543,0.9603971242904663
